Country Code,Min lng,Max lng,Min lat,Max lat,axis,value
AD,1.4087052,1.786639,42.4287488,42.655791,lng,31.01531225
AE,51.4723,56.4395001,22.6315138,26.0765,lng,507.3789181
AF,60.5170005,74.8898619,29.3772,38.4908767,lng,1327.399359
AG,-62.3810001,-61.6394,16.9018,17.7499946,lat,93.7882697
AI,-63.4803,-62.92,18.1465043,18.6332326,lng,59.2452306
AL,19.1217,21.0572394,39.6447296,42.6611669,lat,333.539538
AM,43.4472601,46.6342219,38.840244,41.300993,lat,272.0948599
AO,11.4696999,24.0878855,-18.0391039,-4.3880633,lat,1509.450163
AQ,-180,180,-90,-60.1086999,lng,4979.205974
AR,-73.5603601,-53.637481,-55.1250224,-21.7810459,lat,3686.976858
AS,-171.0076904,-169.2059326,-14.7217608,-13.4056506,lng,194.3821858
AT,9.5307834,17.1607329,46.3723358,49.0206081,lng,573.6459168
AU,110.9510339,159.2872223,-54.8337658,-9.1870264,lat,5047.342562
AW,-70.070114,-69.8644638,12.406093,12.6306179,lat,24.82661629
AX,19.2095998,21.4866841,59.6872001,60.8400009,lat,127.4697957
AZ,44.7632599,50.7458001,38.3922171,41.9594999,lng,509.0967123
BA,15.7223665,19.6237016,42.5564808,45.2766262,lng,312.8494072
BB,-59.6530151,-59.4174957,13.039844,13.3365093,lat,32.80346888
BD,88.0086141,92.6801153,20.3794,26.633914,lat,691.586631
BE,2.5240999,6.4081241,49.497013,51.5051449,lng,274.9982349
BF,-5.5132416,2.4043596,9.4104717,15.0840397,lng,861.3572132
BG,22.3573446,28.7292001,41.2354469,44.2153059,lng,521.0013554
BH,50.324246,50.8509064,25.5349999,26.3469001,lat,89.77505271
BI,29.000968,30.84954,-4.4693288,-2.3097301,lat,238.7954667
BJ,0.7754124,3.8433429,6.2061001,12.4086111,lat,685.8364513
BL,-62.9559999,-62.7869,17.8663,17.978,lng,17.9130042
BM,-64.8914,-64.6413999,32.2424975,32.3961,lng,23.52162153
BN,114.0752,115.3639552,4.002461,5.0978001,lng,143.0150191
BO,-69.64499,-57.453803,-22.8980899,-9.669323,lat,1462.757671
BQ,-68.5149,-62.9228,11.9641,17.6606999,lat,629.8958373
BR,-73.9828169,-28.650543,-34.0891,5.2717863,lng,4891.440889
BS,-80.4775603,-72.7097539,20.9082735,27.263412,lng,783.4766236
BT,88.7464739,92.125232,26.702016,28.246987,lng,333.5825496
BV,3.2858826,3.4332785,-54.4541004,-54.3869298,lng,9.546696677
BW,19.998903,29.375304,-26.9075448,-17.7781369,lat,1009.475149
BY,23.1783377,32.7768202,51.262011,56.1718719,lng,632.4204949
BZ,-89.2275879,-87.4126999,15.8856189,18.4959419,lat,288.6338554
CA,-141.00187,-50.9766,41.6765559,83.6381,lng,5585.096419
CC,96.8134118,96.9327164,-12.2118513,-11.819973,lng,12.98280165
CD,12.1454,31.314612,-13.4590349,5.3920029,lng,2128.6185
CF,14.4150981,27.4583049,2.2230529,11.0179569,lng,1442.314847
CG,11.1182001,18.650421,-5.0964,3.707791,lat,973.5146156
CH,5.95608,10.4923401,45.81792,47.8084546,lng,345.563313
CI,-8.6020589,-2.493031,4.193,10.7400149,lat,723.9296256
CK,-166.1791992,-155.6982422,-23.0898384,-8.1679932,lat,1649.968111
CL,-110.0281,-66.3327,-56.1455,-17.4983291,lat,4273.372275
CM,8.3936001,16.1944081,1.6559,13.083335,lat,1263.577198
CN,73.4994136,134.7754563,17.9996,53.5609739,lng,5528.17105
CO,-81.8317,-66.8463122,-4.2271099,13.5177999,lat,1962.125656
CR,-87.099,-82.5183001,5.4961,11.2196806,lat,632.8792013
CU,-85.1715001,-73.9545,19.6529001,23.3776001,lng,1161.616642
CV,-25.383911,-22.5933839,14.7270733,17.3191764,lng,297.7893639
CW,-69.299,-68.5670001,11.9224,12.4941999,lng,79.65506967
CX,105.5333161,105.7129382,-10.5703619,-10.412352,lng,19.6640342
CY,32.2459,34.6045,34.6304001,35.7071999,lng,214.7432392
CZ,12.090589,18.8592361,48.5518081,51.0557185,lng,486.1674774
DE,5.8663425,15.0418962,47.2701115,55.0815,lat,863.736472
DJ,41.770846,43.4839,10.912953,12.7136972,lat,199.1154892
DK,7.8552001,15.2298,54.4317001,58.02846,lng,455.9242353
DM,-61.484108,-61.2309018,15.2042266,15.6485199,lat,49.12728735
DO,-72.0075099,-68.2526001,17.3611001,19.9786989,lng,395.8470738
DZ,-8.6676111,11.9999992,18.9681469,37.2216,lng,2030.774591
EC,-92.6038,-75.1887938,-5.0143509,2.2955,lng,1937.6484
EE,21.6540999,28.2101389,57.509316,59.7315,lng,380.2937467
EG,24.696775,37.0569,21.9999999,31.8122,lng,1227.912197
EH,-17.4573001,-8.667525,20.427,27.7223999,lng,892.380522
ER,36.433348,43.2312,12.354723,18.0204137,lng,730.334919
ES,-18.2648001,4.6362,27.4985,43.8504,lng,1939.582353
ET,32.997734,48.0010561,3.4041369,14.8942141,lng,1648.940764
FI,20.4565002,31.5870999,59.693623,70.0922932,lat,1149.822559
FJ,176.7919922,-177.8686523,-20.8998713,-12.2084957,lat,961.0401656
FK,-61.3792419,-57.6768495,-52.4744161,-50.9809115,lng,254.8984004
FM,136.9226075,163.5177612,0.1538084,10.2770863,lng,2935.744026
FO,-7.7178956,-6.190796,61.3677776,62.4310742,lat,117.5729582
FR,-5.5591,9.6624999,41.31433,51.1241999,lng,1172.224726
GA,8.421,14.5269234,-4.1656,2.318109,lat,716.929639
GB,-7.572167935,1.681530796,49.95999991,60.9157,lat,1211.415582
GD,-61.8059,-61.3746999,11.9829051,12.5367,lat,61.23531727
GE,39.9792001,46.7361189,41.054942,43.5866269,lng,556.1997196
GF,-54.5544379,-51.6164491,2.109287,5.9548,lat,425.2137545
GG,-2.6745361,-2.5016885,49.4167199,49.5094108,lng,12.50950952
GH,-3.2607859,1.199972,4.6339001,11.1750308,lat,723.278986
GI,-5.3721,-5.3345,36.1038999,36.1551186,lat,5.663456534
GL,-73.8281196,-8.2617199,58.26329,83.9702561,lat,2842.52207
GM,-16.9464001,-13.7913862,13.0098999,13.825058,lng,341.5931554
GN,-15.282,-7.637853,7.1909091,12.6748616,lng,838.1586082
GP,-61.8468,-60.9473,15.742032,16.5572273,lng,96.12469954
GQ,5.5419001,11.3333,-1.5475,3.8355,lng,644.4310647
GR,19.3098,29.6527999,34.5428,41.7488784,lng,893.8532348
GS,-38.4301758,-25.4663085,-59.910976,-53.8525267,lng,839.4777196
GT,-92.2714,-88.1982001,13.63,17.815697,lat,462.8292601
GU,144.4647218,145.112915,13.1022175,13.7994072,lat,77.09105389
GW,-16.9518999,-13.6265235,10.7146,12.6869468,lng,362.3530577
GY,-61.414905,-56.49112,1.164724,8.7222,lat,835.6603512
HK,113.8259001,114.4294999,22.1435,22.5619469,lng,62.15877277
HM,73.250656,73.7792016,-53.1916876,-52.9609444,lng,35.34227875
HN,-89.3564822,-83.0621001,12.9808201,17.4677999,lng,676.1780046
HR,13.3649,19.4480523,42.3385087,46.5549857,lng,477.9996496
HT,-74.6082,-71.621754,17.9422,20.1282,lng,314.3931454
HU,16.1133078,22.8965438,45.7370889,48.585234,lng,513.4153795
ID,94.7351,141.0425,-11.1082999,6.2169999,lng,5154.450667
IE,-10.4800237,-5.43191,51.4475448,55.3829415,lat,435.1525547
IL,34.2673871,35.896244,29.4797,33.332805,lat,426.0532323
IM,-4.8736609,-4.2706182,54.0186764,54.4369363,lat,46.24867018
IN,68.1097,97.3953587,6.4626999,35.513327,lat,3212.244041
IO,71.1859131,72.5880433,-7.4891118,-5.1401857,lat,259.7301546
IQ,38.7936741,48.6350999,29.0612079,37.380645,lat,919.9134379
IR,44.0326949,63.3333366,24.8066999,39.782056,lng,1813.517625
IS,-26.2572999,-12.2388001,62.4819,67.2466,lng,660.4243854
IT,6.6267201,18.7975999,35.4897,47.092,lat,1282.91272
JE,-2.2602001,-2.0013001,49.1582,49.2665001,lng,18.82657187
JM,-78.4073639,-76.1448669,17.6688854,18.5697821,lng,239.3849126
JO,34.9441001,39.301154,29.1850361,33.374735,lat,463.2717662
JP,122.8554688,154.0031455,20.3585295,45.6412626,lng,2797.848972
KE,33.9098211,41.9069449,-4.7243,5.0334209,lat,1078.950231
KG,69.250998,80.2281514,39.180254,43.2653569,lng,919.371966
KH,102.333542,107.627687,9.6007,14.6901791,lng,575.2278112
KI,168.8818359,-145.1513674,-13.0502263,5.4082108,lng,5108.172974
KM,43.1968689,44.5646666,-12.4687602,-11.3373321,lng,149.1289407
KN,-62.8695,-62.5236999,17.07861,17.4205891,lat,37.813997
KP,124.1491605,130.6990167,37.5892001,43.01159,lat,599.5753408
